report,link,normalized_path,exists,size_bytes,status
report/final_report.qmd,../figures/eda/tfr_time_series.png,figures/eda/tfr_time_series.png,TRUE,93093,ok
report/final_report.qmd,../figures/eda/total_live_births_time_series.png,figures/eda/total_live_births_time_series.png,TRUE,116448,ok
report/final_report.qmd,../figures/eda/indexed_tfr_births.png,figures/eda/indexed_tfr_births.png,TRUE,122089,ok
report/final_report.qmd,../figures/model_diagnostics/tfr_final_model_residuals.png,figures/model_diagnostics/tfr_final_model_residuals.png,TRUE,157126,ok
report/final_report.qmd,../figures/model_diagnostics/birth_final_model_residuals.png,figures/model_diagnostics/birth_final_model_residuals.png,TRUE,147986,ok
report/final_report.qmd,../figures/forecasts/tfr_forecasts.png,figures/forecasts/tfr_forecasts.png,TRUE,119412,ok
report/final_report.qmd,../figures/forecasts/log_births_forecasts.png,figures/forecasts/log_births_forecasts.png,TRUE,175706,ok
report/final_report.qmd,../figures/forecasts/tfr_scenario_paths.png,figures/forecasts/tfr_scenario_paths.png,TRUE,89943,ok
report/final_report.qmd,../figures/forecasts/birth_scenario_forecasts.png,figures/forecasts/birth_scenario_forecasts.png,TRUE,120302,ok
report/statistical_appendix.qmd,../figures/eda/tfr_acf.png,figures/eda/tfr_acf.png,TRUE,41006,ok
report/statistical_appendix.qmd,../figures/eda/differenced_tfr_acf.png,figures/eda/differenced_tfr_acf.png,TRUE,42741,ok
report/statistical_appendix.qmd,../figures/eda/log_births_acf.png,figures/eda/log_births_acf.png,TRUE,44306,ok
report/statistical_appendix.qmd,../figures/eda/differenced_log_births_acf.png,figures/eda/differenced_log_births_acf.png,TRUE,48475,ok
report/statistical_appendix.qmd,../figures/model_diagnostics/tfr_final_model_residual_acf.png,figures/model_diagnostics/tfr_final_model_residual_acf.png,TRUE,51295,ok
report/statistical_appendix.qmd,../figures/model_diagnostics/birth_final_model_residual_acf.png,figures/model_diagnostics/birth_final_model_residual_acf.png,TRUE,47391,ok
report/statistical_appendix.qmd,../figures/forecasts/tfr_scenario_paths.png,figures/forecasts/tfr_scenario_paths.png,TRUE,89943,ok
report/statistical_appendix.qmd,../figures/forecasts/birth_scenario_forecasts.png,figures/forecasts/birth_scenario_forecasts.png,TRUE,120302,ok
