scenario,year,tfr
gradual_rebound,2026,0.893
gradual_rebound,2027,0.916
gradual_rebound,2028,0.9390000000000001
gradual_rebound,2029,0.9620000000000001
gradual_rebound,2030,0.9850000000000001
gradual_rebound,2031,1.008
gradual_rebound,2032,1.0310000000000001
gradual_rebound,2033,1.054
gradual_rebound,2034,1.077
gradual_rebound,2035,1.1
model_trend,2026,0.8143028474728053
model_trend,2027,0.7565930424823426
model_trend,2028,0.6969654924962834
model_trend,2029,0.6355106295810184
model_trend,2030,0.5723146214410679
model_trend,2031,0.5074595725068525
model_trend,2032,0.4410237155400738
model_trend,2033,0.373081594203879
model_trend,2034,0.303704237023835
model_trend,2035,0.23295932314571832
stabilisation,2026,0.87
stabilisation,2027,0.87
stabilisation,2028,0.87
stabilisation,2029,0.87
stabilisation,2030,0.87
stabilisation,2031,0.87
stabilisation,2032,0.87
stabilisation,2033,0.87
stabilisation,2034,0.87
stabilisation,2035,0.87
